ID,buying_price,maint_price,persons,doors,lug_boot,safety,Suggestion
1,59445.23818,10722.365,2,2,36.14966025,33.09048108,N
2,66484.86768,13425.002,2,2,40.3855584,42.02798823,N
3,63937.87879,10056.78188,2,2,35.6085285,33.39294919,N
4,70754.27367,14068.77758,2,2,54.64046343,34.05905868,N
5,52280.598,10549.51388,2,2,26.35228809,51.52838998,N
6,52274.82427,13752.92087,2,2,41.60068497,67.01831188,N
7,79751.90419,11797.24195,2,2,53.14087045,28.95549989,N
8,64904.57002,14054.52768,2,2,52.91638351,37.58359281,N
9,57679.77176,11362.38182,2,2,69.20140748,45.0176697,N
10,76726.77351,12880.84126,4,2,30.34542101,32.60663879,N
11,64919.39973,14192.00695,4,2,35.50019707,51.85570828,N
12,74516.67163,10697.36887,4,2,34.94344141,61.54296643,N
13,78948.27651,10796.91109,4,2,42.18704279,42.5399309,N
14,64464.11276,11770.61545,4,2,33.58803064,53.50453199,N
15,52608.60009,14012.60356,4,2,51.5124725,37.55757654,N
16,71125.80975,10156.83678,4,2,36.62459367,33.98932294,N
17,79462.31789,10393.67263,4,2,43.56723462,37.33244734,N
18,70583.16344,13837.17736,4,2,45.24856357,46.09839803,N
19,77513.939,13527.00497,6,2,36.30002612,34.6715937,N
20,79324.83396,11689.7875,6,2,24.85178038,41.80025741,N
21,75753.58118,11098.74325,6,2,40.23964978,40.13735998,N
22,61108.43414,12683.65932,6,2,44.36807387,31.93751519,N
23,56585.56948,10739.45487,6,2,29.92860616,54.52433453,N
24,51156.16502,11353.94589,6,2,30.84029034,49.94800875,N
25,60376.89298,13212.46916,6,2,45.75422319,36.08221768,N
26,64969.9647,11446.1724,6,2,54.93978956,42.90593902,N
27,64346.12676,11417.67197,6,2,47.59041949,57.96345245,N
28,79190.93633,11953.38388,2,3,40.43187893,27.88242379,N
29,61818.49257,12682.69915,2,3,37.67817563,49.8883451,N
30,69317.11161,13757.51429,2,3,26.05880045,58.09307869,N
31,69286.55915,13358.48528,2,3,37.48526805,34.36632069,N
32,73691.49099,13213.58832,2,3,36.71926652,42.80245332,N
33,61491.82094,10415.38627,2,3,49.06776292,47.09824707,N
34,70371.37905,10709.21955,2,3,64.05763765,42.54355506,N
35,78419.2091,12344.41055,2,3,33.96451547,35.01604626,N
36,58300.74581,13505.56938,2,3,49.31109407,41.04004405,N
37,56861.02622,14090.23494,4,3,36.87295465,39.29839733,N
38,52535.1575,13881.4319,4,3,26.3876251,41.31231513,N
39,66227.05575,13559.80795,4,3,24.45137188,61.1277062,N
40,68270.50971,13277.30627,4,3,44.25229991,43.46885855,N
41,78017.80793,13447.74747,4,3,34.06514836,45.29193235,N
42,68965.10571,13296.97866,4,3,33.88773541,59.53989651,N
43,57323.42109,10167.19124,4,3,42.78041169,44.67652141,N
44,71094.72295,9945.273109,4,3,60.44337795,38.27072107,N
45,77667.23365,13462.6373,4,3,30.09502423,54.62188653,N
46,75032.25259,11886.70696,6,3,41.6572214,40.00811387,N
47,64214.05754,10242.49564,6,3,22.28994046,40.55156138,N
48,72613.64017,9950.209955,6,3,40.06558338,63.49053238,N
49,64950.68965,13140.35244,6,3,32.1174886,42.09913553,N
50,61602.28483,9881.998113,6,3,33.72905976,48.76268146,N
51,55984.91555,9785.685485,6,3,43.49870643,65.44237606,N
52,64278.26937,13758.50579,6,3,60.69809479,34.27688444,N
53,64946.03177,10341.46306,6,3,55.51954301,46.75119176,N
54,73092.77464,12744.54389,6,3,67.79314645,59.29133626,N
55,61965.71801,10383.6998,2,4,26.99506146,41.90674026,N
56,76211.00092,10373.66379,2,4,32.29764191,52.74116175,N
57,75156.33238,14202.06107,2,4,19.06177283,38.5963761,N
58,56581.43447,10918.37914,2,4,30.40752069,37.9557375,N
59,60649.29634,11039.82961,2,4,38.24945433,46.93448993,N
60,62530.87782,11476.79864,2,4,52.40589098,39.30988391,N
61,70330.19992,9989.138571,2,4,51.29890713,34.82849371,N
62,54904.93138,12289.33393,2,4,64.146703,46.27963379,N
63,65303.34137,12882.90058,2,4,44.62249917,38.90175218,N
64,53640.04389,11992.38181,4,4,38.98984676,44.90074874,N
65,71559.2662,10615.60414,4,4,20.32067378,47.21509921,N
66,64462.25218,9753.124798,4,4,29.04223366,46.03823048,N
67,63449.5088,9752.480579,4,4,43.25220775,35.87899598,N
68,71363.84231,13269.30158,4,4,48.86335972,42.23077905,N
69,57591.71099,13267.24219,4,4,32.957945,49.18542358,N
70,74576.38754,12024.22208,4,4,42.10868548,28.18674321,N
71,75201.95443,11245.6453,4,4,59.06341109,47.4046702,N
72,67959.73681,10591.02862,4,4,60.14174167,41.87403767,N
73,59542.73007,12233.98149,6,4,29.90090388,36.38273752,N
74,72885.83093,11435.94427,6,4,22.49105179,43.99700061,N
75,79916.79035,11495.99502,6,4,29.63736648,60.33332453,N
76,57606.0756,13615.34931,6,4,38.21863756,29.20392193,N
77,59527.77778,12816.07456,6,4,53.59580071,49.4281965,N
78,55212.47638,13998.12365,6,4,50.62838757,58.82613729,N
79,75119.87986,11315.22771,6,4,40.10174731,45.0294153,N
80,58384.01724,12194.49009,6,4,31.95545386,54.72160309,N
81,78566.07622,10660.03882,6,4,38.77384992,34.8627592,N
82,73964.45513,10168.26638,2,5,19.7154992,34.41068429,N
